Provider ID,Has Sync
a3982207-df8e-47d1-af8d-0a5c1f0e79cb,False
11dfd482-9fab-4e9b-bb17-fcf26cecf78b,False
ef181d8b-5b51-4256-a07c-d93d8f2c5c89,False
d1717973-d737-4c58-9770-2e9eea87c1f7,False
29f54011-e9a9-4c84-a723-f5ddba0070a1,False
77de8ffd-5d23-49e4-a140-0de70d5e114c,False
6a725503-4d2c-4e7a-b9c3-207db7d5df02,False
80582b98-a69d-489f-95e6-35f29392c45b,True
a17ad96f-9837-437a-9365-f626ecd00df9,True
bd8cb6e9-687f-4396-8d4e-eda58b31a2b1,False
ecfc94ad-bdd9-4cfb-b51d-94644242fdab,True
f249bfa8-af33-4be1-a724-b40891a1c492,True
b75907bc-ca79-453f-9d7d-b2b0e10604e8,True
6c099823-204d-444e-be89-d07c4fcad8c7,False
1860045e-66c3-4529-8d20-9ab86abc8e94,True
020ff266-4c76-4fea-931c-237637c64894,True
d87cc5ce-86ea-4342-9953-ecbc09524103,False
1a8313ab-1db0-425b-86fb-ef29209fa9f3,False
49feb754-bea0-46db-a159-6e5de48693e4,False
ae3f3692-1e67-459a-900f-8ada840e696c,True
960daa17-a409-43ee-8656-e69da50f2e71,False
77d426bf-0916-4bde-ae5f-0e62c850eb56,False
1b8d2ced-e1b2-4d8e-be4a-f348e5816cb0,True
42bbbb96-3988-4da3-86d3-a2914e07a56a,True
3fbd0290-fe09-4045-b61b-5710a2854c2d,False
c88d13bd-d64f-4a37-90bb-97edab4b328d,False
2be0bcb2-e4c7-4113-be7a-53a17fcdc7a0,True
c017b7a6-189c-41e0-a7ab-d8622e1d28f6,False
ad65ec33-9806-4e22-b485-b8a3834416ad,True
4ff3c91c-28cd-453a-b4a6-acdec398d30e,True
876d9a8d-24f4-4c4c-acaf-9640165e541a,False
d521e625-8665-48b5-ad2c-25c83b1af6d5,True
57f7a8df-82eb-4c9e-997f-00a365e63a03,True
57dd3545-6999-4681-bc6c-d6556b20b808,True
96109fd4-586c-45d2-bfbe-a2467978a78c,False
fc49327e-b2b0-469d-9ac5-c071b6120380,False
bde408f4-d6db-4cb8-98f1-08383211c871,False
0483cf1b-0fd1-4038-96df-4dea812a3664,True
8cf67529-8b80-4484-bc93-2fe2341140da,False
6148a199-ac74-468c-9196-68c6d3eb1e94,True
887993a1-19e4-4032-b7a4-6857872482c4,True
5d01d932-9bdf-4407-87fe-608be085c68a,True
f3fc28d6-f998-4f7e-9d6c-92de39b1624d,False
f69f6be7-2668-496d-829c-5e13d09aec5a,False
70ee331a-0523-4118-ae71-db858bafc6c4,True
2f0e5900-a0b7-4667-93c7-ed72554933e7,False
737a7dfe-189f-4f21-95c2-1c447c40b3c9,True
b02fb13d-5900-4bce-bec2-7336cb573be5,True
bb277f8b-e87a-46e5-b45e-c93bda52dfc4,False
bf85407f-7b80-4fcf-a572-993191c7f8fa,False
baa426d7-db05-4fa5-a341-24fa29b6a326,False
6e5367b5-3a8d-457c-b7a4-ffb83e714af4,False
7dd40bae-c433-409b-9be9-9366b2c484e4,False
451e6ad4-90af-44f2-8d6e-4ba722268aad,False
f97d63c5-83bc-4321-b6b1-a6f9961ac7d1,False
f741d388-7872-4874-93dc-a23fa28c53fd,False
f9d9351d-47a4-45d9-94c0-b2fe4b06a688,False
023102d5-42b9-45ab-bbdb-b7e40a44b3e1,True
203fdfae-1e56-4c95-8239-d3709cb8e7e4,False
08e8c2f9-ce2b-42eb-8efa-245c0cb419ae,False
dfbb5217-9de9-42d7-b039-260e34af1f10,True
6f09573d-e97a-4ff6-a6a1-97497d41755f,True
75f1b9b3-bc04-41d1-8b4a-2e7aa7026502,False
f486edee-6b95-4117-ae0f-f6b3c57c9a93,False
bef6edda-54e4-4066-9dc6-4d42bb745f08,True
9366fb46-5a10-495e-b150-d81ce89dc442,True
89e1d3a5-8b22-4885-974a-ba5a90cb38a6,False
374a22dd-7515-4446-9cf9-1178e2e907fe,False
84849d71-2667-45dd-a5e1-9f7931927861,True
20370fa6-dbf8-4edf-ae6e-55b9f7d89e96,False
d06870a2-068d-4843-837f-661c17204066,True
4861fd2a-692e-49f9-889e-299caa7a4be7,True
4657c876-f21a-4e68-98ef-9d9ce5e54212,True
3ac22679-a06d-441b-a4a0-f5f971fea6f5,False
0d57baa8-c7d8-44f8-b2e3-c5de70c42c3e,True
02da802f-9df9-4d5d-939d-f97e9fea1747,True
cc7cdf30-a151-4faa-a87c-15bd126cb371,False
ce90abca-f739-4d97-8569-67d66c6955d9,False
94b89d14-6628-4e14-b54b-9d29d188b83f,False
ea769944-7864-4759-8b75-0a0a5626f96f,True
b5536e90-78f1-430b-b7b3-20dc26566c93,False
9a644de8-e827-41bd-bb0d-690c8c5eb8f7,False
d3c67278-30f9-415f-a1ae-9d60d3574469,False
fcd316c6-ea7b-4321-9fdc-559a91f6f86d,True
839e9d85-849c-43ba-8daf-b7c50d7e9bde,True
af9a842a-fae0-44a9-9ca8-f17c2f69d899,True
bcda4ce2-1427-48a2-b089-47bfa6915b38,True
77f5a454-ad1c-4493-9ce3-0c9fe83e8bfd,True
b497f853-c29d-4cca-8f5f-5506def1706c,True
3928af6e-1a3a-4573-8b5c-087e649932a0,False
ea77e96b-c6da-45d3-9650-c077800bc4a9,False
21f627f1-b068-4bf2-9783-85a15b75cd94,False
234cfbcb-0808-4f58-bab6-3aa9de8efc4a,True
1ebdb322-947b-4afa-9e82-7330e8a7742a,True
4475fc70-3aaa-43b6-a42b-36ff4371c509,False
39e98c96-2340-4607-9937-606725b526df,True
039debeb-e08e-4ac4-866c-670c63779cff,True
5e6b6260-d3bc-49f1-b71e-5ef2f405099f,True
c56f3c60-6ffd-489e-a228-30d93047bf20,True
30f31a56-7c5a-4f33-9856-da74802b714c,True
